,Ticker,Price,EPS (TTM),EPS Yield,Market Cap
0,AAPL,146.99119567871094,5.11,0.034763986893264605,2.429T
1,AMC,35.279998779296875,-9.68,-0.27437642672710205,18.126B
2,AMD,106.73999786376953,2.84,0.02660670842081751,129.521B
3,AMZN,3221.830078125,57.4,0.017815961304019152,1.632T
4,BABA,182.77000427246094,8.29,0.04535755214866569,496.884B
5,BB,9.8100004196167,-0.94,-0.09582058713476875,5.561B
6,BCC,55.7599983215332,14.69,0.2634505100823697,2.193B
7,BIDU,148.32000732421875,19.49,0.13140506362972335,51.542B
8,BIG,58.33000183105469,17.62,0.30207439476916276,2.021B
9,BLNK,32.90999984741211,-0.88,-0.02673959295290605,1.387B
10,CCL,22.665000915527344,-9.31,-0.41076548087063625,26.265B
11,CHPT,22.916000366210938,-6.47,-0.2823354816113483,7.368B
12,DSNY,1.4800000190734863,0.043,0.029054053679620204,15.214M
13,F,13.494999885559082,0.86,0.06372730695020463,53.909B
14,FB,358.2300109863281,13.47,0.03760153975629385,1.01T
15,GME,167.98800659179688,-1.78,-0.010595994536236853,12.481B
16,INTC,53.165000915527344,4.5,0.08464215033401291,215.69B
17,MHO,65.19999694824219,11.67,0.17898773843906793,1.912B
18,MSFT,290.4700012207031,8.05,0.02771370525758183,2.183T
19,NFLX,514.8302001953125,9.65,0.018744044145699017,227.806B
20,NIO,38.9098014831543,-0.88,-0.02261640939959535,63.755B
21,NKLA,9.359999656677246,-1.29,-0.1378205178757393,3.732B
22,PLAY,35.13999938964844,-3.03,-0.08622652397918308,1.692B
23,PLUG,25.650100708007812,-1.51,-0.05886916457714284,14.735B
24,SNAP,70.84500122070312,-0.5,-0.007057660969506546,112.014B
25,SPCE,26.375,-1.79,-0.06786729857819905,6.789B
26,T,28.257299423217773,-0.31,-0.010970616666406793,201.757B
27,TSLA,684.14501953125,1.9,0.0027771889668974092,677.398B
28,TWTR,63.290000915527344,0.47,0.0074261335629826454,50.495B
29,UBER,41.2400016784668,-0.57,-0.013821531930189562,77.72B
30,VZ,55.93000030517578,4.83,0.0863579469630904,231.595B
