,Ticker,Price,EPS (TTM),EPS Yield,Market Cap,Previous Close
0,AAPL,151.1199951171875,5.11,0.0338141884933056,2.498T,149.1
1,ABBV,118.41999816894531,3.71,0.03132916785480003,209.269B,116.48
2,ABNB,148.57000732421875,-10.76,-0.0724237697351583,91.745B,152.76
3,AMC,35.68000030517578,-9.68,-0.2713004461100245,18.316B,33.47
4,AMD,107.4800033569336,2.84,0.02642351982971714,130.37B,110.55
5,AMZN,3298.989990234375,57.4,0.01739926467492011,1.671T,3293.97
6,APT,8.300000190734863,1.51,0.18192770666265587,109.704M,8.68
7,BABA,182.69500732421875,8.44,0.046197212083754415,495.56B,188.62
8,BAR,17.75,Error,0.4754929577464789,Error,17.67
9,BB,9.680000305175781,-1.97,-0.20351239027819704,5.481B,9.88
10,BBY,114.93000030517578,8.53,0.07421908968372166,28.787B,113.78
11,BCC,55.040000915527344,4.44,0.080668603309333,2.165B,56.17
12,BIDU,146.57000732421875,21.48,0.14655112865270845,50.934B,152.45
13,BIG,57.76499938964844,17.62,0.3050290000203398,2.001B,57.93
14,BIIB,343.5,19.29,0.05615720524017467,51.716B,342.25
15,BLNK,31.56999969482422,-0.66,-0.020905923547037745,1.325B,32.5
16,CCL,22.690000534057617,-13.02,-0.5738210530430363,27.013B,22.86
17,CHPT,22.540000915527344,,,6.903B,23.99
18,CPRX,5.710000038146973,0.68,0.11908931619213715,590.208M,6.04
19,CSCO,56.279998779296875,2.42,0.04299929020059289,237.175B,56.47
20,DGX,151.2100067138672,13.18,0.08716354351428837,18.382B,148.22
21,DIS,179.0,-2.49,-0.013910614525139666,325.23B,181.08
22,F,13.399999618530273,0.99,0.07388059911815015,53.488B,13.59
23,FB,366.55999755859375,11.67,0.03183653447655476,1.039T,363.18
24,FKWL,8.109999656677246,1.9,0.23427867822850812,93.997M,8.26
25,FTEC,123.12999725341797,Error,0.015430845792106584,Error,122.89
26,GME,163.99000549316406,-3.31,-0.020184156894475974,11.606B,162.52
27,H,72.2300033569336,-8.92,-0.12349438717205515,7.351B,72.14
28,HOLX,76.80000305175781,7.28,0.0947916628999844,19.679B,76.92
29,HRB,25.729999542236328,0.49,0.019043917944718766,4.668B,25.66
30,INTC,53.470001220703125,4.46,0.0834112567454576,215.912B,53.49
31,IRWD,13.369999885559082,0.89,0.0665669414822724,2.165B,13.64
32,LFVN,7.03000020980835,0.81,0.11522048020281384,98.454M,7.14
33,MCK,199.8300018310547,-25.42,-0.12720812574225576,31.806B,198.43
34,MHO,64.77999877929688,9.99,0.15421426656761095,1.891B,64.66
35,MO,48.41999816894531,2.33,0.04812061313737039,90.027B,48.6
36,MSFT,294.6000061035156,7.34,0.02491513865556708,2.219T,292.85
37,MSGE,65.83999633789062,,,1.59B,67.1
38,NATH,66.47000122070312,2.69,0.0404693839416112,273.519M,67.72
39,NFLX,517.9199829101562,8.26,0.015948409546949,229.647B,515.92
40,NIO,38.63999938964844,-1.03,-0.02665631512085206,63.312B,41.03
41,NKLA,9.130000114440918,,,3.597B,9.53
42,NLS,12.100000381469727,1.86,0.1537190034182524,369.973M,12.35
43,OMC,75.80999755859375,4.51,0.05949083425987725,16.305B,75.45
44,PLAY,35.40999984741211,-3.03,-0.0855690486601751,1.705B,35.67
45,PLUG,25.100000381469727,-1.52,-0.06055776800394601,14.265B,24.99
46,QDEL,120.0999984741211,18.6,0.15487094285024403,5.109B,122.02
47,RGR,81.05000305175781,6.38,0.07871683849198363,1.425B,80.77
48,SNAP,72.44999694824219,-0.63,-0.00869565254019359,110.377B,74.62
49,SPCE,25.34000015258789,,,6.1B,25.37
50,SPY,447.0299987792969,Error,,Error,445.92
51,STRA,75.11000061035156,2.59,0.03448275834047922,1.852B,76.26
52,SWBI,24.170000076293945,,,1.16B,24.08
53,T,28.200000762939453,-0.34,-0.012056737262462393,201.348B,28.19
54,TSLA,686.1699829101562,1.0,0.0014573648292786586,661.008B,717.17
55,TWTR,63.7400016784668,-1.34,-0.021022905000215752,50.873B,64.82
56,UBER,41.505001068115234,-3.86,-0.09300084087855402,77.505B,42.22
57,VIA,11.329999923706055,,,,11.3
58,VZ,56.02000045776367,4.56,0.08139949951335712,231.927B,55.87
59,WSTG,26.399999618530273,1.18,0.04469697034282352,116.315M,27.1
60,WW,23.020000457763672,0.89,0.03866203224595683,1.6B,23.04
0,PENN,67.86000061035156,2.81,0.04140878241565112,10.64B,70.84
0,SOFI,14.289999961853027,-4.4,-0.307907628533642,11.427B,14.99
0,LMT,360.25,25.51,0.0708119361554476,99.759B,357.98
0,ATHM,37.75,4.43,0.11735099337748343,4.718B,37.88
0,ostk,69.45999908447266,7.6,0.10941549237219803,2.988B,69.6
